item,weight,price_rupees,category_hint,notes
Silver Chain,10g,6400,chains,stock item - ready to ship
Gold Chain,8g,52000,chains,stock item - ready to ship
Silver Anklet Pair,-,3800,anklets,stock item
Silver Bracelet,-,5600,bracelets,stock item
Gold Bracelet,6g,38000,bracelets,stock item
Silver Ring - Plain Band,4g,2900,rings,stock item
Gold Ring - Plain Band,5g,32000,rings,stock item
Silver Earrings - Studs,3g,2100,earrings,stock item
Gold Earrings - Studs,3g,21500,earrings,stock item
Gold Earrings - Jhumka,7g,44000,earrings,stock item
Silver Necklace,25g,15200,necklaces,stock item
Gold Necklace,15g,95000,necklaces,stock item - premium
Silver Pendant,5g,3100,pendants,stock item
Gold Pendant,4g,26000,pendants,stock item
Gold Bangle Set (2 pcs),20g,68000,bangles,stock item
Silver Bangle Set (2 pcs),40g,11200,bangles,stock item
Silver Nose Pin,1g,850,nose pins,stock item
Gold Nose Pin,1g,6200,nose pins,stock item
Silver Toe Rings (pair),-,1900,rings,stock item
Gold Mangalsutra,12g,58000,necklaces,stock item
Silver Kada,25g,9800,bangles,stock item
Gold Kada,15g,72000,bangles,stock item
Silver Locket,3g,2400,pendants,stock item
Gold Locket,4g,24500,pendants,stock item
Engraved Silver Ring - Name Band,-,4200,rings,made to order - custom engraving - no returns
Engraved Gold Pendant - Initials,-,18900,pendants,made to order - custom engraving - no returns
Engraved Silver Bracelet - Message,-,7800,bracelets,made to order - custom engraving - no returns
Custom Fit Gold Ring,-,35000,rings,made to order - resized to customer finger - no returns
Engraved Gold Locket - Photo Etching,-,29500,pendants,made to order - custom engraving - no returns
Custom Design Necklace,-,85000,necklaces,made to order - bespoke design commissioned by customer - no returns
Engraved Silver Kada - Name,-,10500,bangles,made to order - custom engraving - no returns
Custom Fit Silver Anklet,-,4600,anklets,made to order - resized to customer ankle - no returns
Engraved Couple Rings (pair),-,15800,rings,made to order - custom engraving - no returns
Custom Gemstone Ring,-,48000,rings,made to order - customer-selected gemstone setting - no returns
Engraved Silver Chain - Name Tag,-,8200,chains,made to order - custom engraving - no returns
Bespoke Bridal Necklace Set,-,82000,necklaces,made to order - fully bespoke design - no returns
Engraved Gold Bracelet - Date,-,41000,bracelets,made to order - custom engraving - no returns
Custom Birthstone Pendant,-,22000,pendants,made to order - customer-selected gemstone - no returns
Engraved Silver Earrings - Initials,-,5400,earrings,made to order - custom engraving - no returns
Bespoke Temple Jewellery Set,-,79000,necklaces,made to order - fully bespoke design - no returns
